movieId,Community,title,genres
77866,6,Robin Hood (2010),Action|Adventure|Drama|Romance|War
432,6,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
474,1,In the Line of Fire (1993),Action|Thriller
288,17,Natural Born Killers (1994),Action|Crime|Thriller
4351,4,Point Break (1991),Action|Crime|Thriller
599,7,"Wild Bunch, The (1969)",Adventure|Western
2987,9,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
42,17,Dead Presidents (1995),Action|Crime|Drama
1610,20,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
75,20,Big Bully (1996),Comedy|Drama
177,19,Lord of Illusions (1995),Horror
51,8,,
51662,12,300 (2007),Action|Fantasy|War|IMAX
354,12,Cobb (1994),Drama
750,29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
416,29,Bad Girls (1994),Western
6503,8,Charlie's Angels: Full Throttle (2003),Action|Adventure|Comedy|Crime|Thriller
438,15,"Cowboy Way, The (1994)",Action|Comedy|Drama
8641,2,Anchorman: The Legend of Ron Burgundy (2004),Comedy
73,13,"Misérables, Les (1995)",Drama|War
1203,14,12 Angry Men (1957),Drama
567,21,Kika (1993),Comedy|Drama
1179,11,"Grifters, The (1990)",Crime|Drama|Film-Noir
391,17,Jason's Lyric (1994),Crime|Drama
111362,13,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi
380,18,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
55276,5,Michael Clayton (2007),Drama|Thriller
305,5,Ready to Wear (Pret-A-Porter) (1994),Comedy
3868,5,"Naked Gun: From the Files of Police Squad!, The (1988)",Action|Comedy|Crime|Romance
409,20,Above the Rim (1994),Crime|Drama
6957,18,Bad Santa (2003),Comedy|Crime
307,3,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
26736,4,Riki-Oh: The Story of Ricky (Lik Wong) (1991),Action|Crime|Thriller
274,4,Man of the House (1995),Comedy
6952,12,Gothika (2003),Horror|Thriller
125,12,Flirting With Disaster (1996),Comedy
1278,17,Young Frankenstein (1974),Comedy|Fantasy
561,22,,
6953,21,21 Grams (2003),Crime|Drama|Mystery|Romance|Thriller
68,24,French Twist (Gazon maudit) (1995),Comedy|Romance
50872,25,Ratatouille (2007),Animation|Children|Drama
525,25,,
3847,2,"Ilsa, She Wolf of the SS (1974)",Horror
414,2,"Air Up There, The (1994)",Comedy
587,18,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
6,18,Heat (1995),Action|Crime|Thriller
48394,12,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller
601,12,,
32,18,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
325,18,National Lampoon's Senior Trip (1995),Comedy
5065,17,"Mothman Prophecies, The (2002)",Drama|Fantasy|Horror|Mystery|Thriller
82,29,Antonia's Line (Antonia) (1995),Comedy|Drama
204,20,Under Siege 2: Dark Territory (1995),Action
16,17,Casino (1995),Crime|Drama
4816,2,Zoolander (2001),Comedy
542,25,Son in Law (1993),Comedy|Drama|Romance
39,15,Clueless (1995),Comedy|Romance
2682,18,Limbo (1999),Drama
140,18,Up Close and Personal (1996),Drama|Romance
5643,17,Powaqqatsi (1988),Documentary
182,17,,
42761,13,Casper Meets Wendy (1998),Adventure|Children|Comedy|Fantasy
89,13,Nick of Time (1995),Action|Thriller
541,17,Blade Runner (1982),Action|Sci-Fi|Thriller
359,17,I Like It Like That (1994),Comedy|Drama|Romance
1408,15,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
183,14,Mute Witness (1994),Comedy|Horror|Thriller
119155,13,Night at the Museum: Secret of the Tomb (2014),Adventure|Children|Comedy|Fantasy
111,13,Taxi Driver (1976),Crime|Drama|Thriller
2513,9,Pet Sematary (1989),Horror
80,4,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
117590,13,Horrible Bosses 2 (2014),Comedy|Crime
448,16,Fearless (1993),Drama
1258,0,"Shining, The (1980)",Horror
514,15,"Ref, The (1994)",Comedy
1101,17,Top Gun (1986),Action|Romance
1588,2,George of the Jungle (1997),Children|Comedy
509,2,"Piano, The (1993)",Drama|Romance
31,18,Dangerous Minds (1995),Drama
131,20,,
2355,22,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
45,22,To Die For (1995),Comedy|Drama|Thriller
3167,7,Carnal Knowledge (1971),Comedy|Drama
156,7,Blue in the Face (1995),Comedy|Drama
1199,9,Brazil (1985),Fantasy|Sci-Fi
440,9,Dave (1993),Comedy|Romance
312,12,Stuart Saves His Family (1995),Comedy
2102,9,Steamboat Willie (1928),Animation|Children|Comedy|Musical
57,9,Home for the Holidays (1995),Drama
2020,11,Dangerous Liaisons (1988),Drama|Romance
603,11,,
778,4,Trainspotting (1996),Comedy|Crime|Drama
337,18,What's Eating Gilbert Grape (1993),Drama
356,0,Forrest Gump (1994),Comedy|Drama|Romance|War
116,0,Anne Frank Remembered (1995),Documentary
63113,4,Quantum of Solace (2008),Action|Adventure|Thriller
122,4,Boomerang (1992),Comedy|Romance
185,18,"Net, The (1995)",Action|Crime|Thriller
201,15,Three Wishes (1995),Drama|Fantasy
318,21,"Shawshank Redemption, The (1994)",Crime|Drama
167,22,,
60072,12,Wanted (2008),Action|Thriller
139,22,,
628,20,Primal Fear (1996),Crime|Drama|Mystery|Thriller
293,20,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
99992,16,Shadow Dancer (2012),Crime|Drama|Thriller
1073,29,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
450,29,With Honors (1994),Comedy|Drama
178,4,Love & Human Remains (1993),Comedy|Drama
59369,12,Taken (2008),Action|Crime|Drama|Thriller
4226,5,Memento (2000),Mystery|Thriller
581,21,"Celluloid Closet, The (1995)",Documentary
1347,6,"Nightmare on Elm Street, A (1984)",Horror|Thriller
215,6,Before Sunrise (1995),Drama|Romance
4228,22,Heartbreakers (2001),Comedy|Crime|Romance
610,22,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
81,6,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
2120,17,Needful Things (1993),Drama|Horror
340,15,"War, The (1994)",Adventure|Drama|War
111443,5,Chef (2014),Comedy
323,7,,
586,22,Home Alone (1990),Children|Comedy
232,25,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
3740,9,Big Trouble in Little China (1986),Action|Adventure|Comedy|Fantasy
186,24,Nine Months (1995),Comedy|Romance
1245,17,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
28,17,Persuasion (1995),Drama|Romance
4067,6,Untamed Heart (1993),Drama|Romance
195,6,Something to Talk About (1995),Comedy|Drama|Romance
86190,2,Hanna (2011),Action|Adventure|Mystery|Thriller
141131,0,Guardians (2016),(no genres listed)
596,0,Pinocchio (1940),Animation|Children|Fantasy|Musical
1394,20,Raising Arizona (1987),Comedy
602,10,"Great Day in Harlem, A (1994)",Documentary
2983,9,"Ipcress File, The (1965)",Thriller
202,9,Total Eclipse (1995),Drama|Romance
553,7,Tombstone (1993),Action|Drama|Western
44761,0,Brick (2005),Crime|Drama|Film-Noir|Mystery
200,0,,
5296,14,"Sweetest Thing, The (2002)",Comedy|Romance
387,14,"Low Down Dirty Shame, A (1994)",Action|Comedy
104841,15,Gravity (2013),Action|Sci-Fi|IMAX
2710,4,"Blair Witch Project, The (1999)",Drama|Horror|Thriller
510,19,Poetic Justice (1993),Drama
2385,9,Home Fries (1998),Comedy|Romance
290,9,Once Were Warriors (1994),Crime|Drama
446,5,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
221,32,,
7361,0,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
598,0,,
4014,0,Chocolat (2000),Drama|Romance
157699,2,Snowden (2016),Drama|Thriller
31685,0,Hitch (2005),Comedy|Romance
34,18,Babe (1995),Children|Drama
2115,2,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
62,19,Mr. Holland's Opus (1995),Drama
105211,16,Enough Said (2013),Comedy|Drama|Romance
1242,9,Glory (1989),Drama|War
137,5,Man of the Year (1995),Documentary
2642,15,Superman III (1983),Action|Adventure|Sci-Fi
47538,5,Crime Busters (1977),Action|Adventure|Comedy|Crime
606,5,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
352,12,Crooklyn (1994),Comedy|Drama
3093,9,McCabe & Mrs. Miller (1971),Drama|Western
572,9,,
4878,0,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
129,9,Pie in the Sky (1996),Comedy|Romance
164179,6,Arrival (2016),Sci-Fi
279,17,My Family (1995),Drama
6365,2,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
428,20,"Bronx Tale, A (1993)",Drama
858,20,"Godfather, The (1972)",Crime|Drama
152,13,"Addiction, The (1995)",Drama|Horror
1198,19,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
328,20,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
435,7,Coneheads (1993),Comedy|Sci-Fi
427,17,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
3751,10,Chicken Run (2000),Animation|Children|Comedy
367,10,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
97306,22,Seven Psychopaths (2012),Comedy|Crime
98243,11,Rise of the Guardians (2012),Adventure|Animation|Children|Fantasy|IMAX
78174,13,Sex and the City 2 (2010),Comedy|Drama|Romance
2735,17,"Golden Child, The (1986)",Action|Adventure|Comedy|Fantasy|Mystery
2677,5,Buena Vista Social Club (1999),Documentary|Musical
6863,2,School of Rock (2003),Comedy|Musical
560,4,,
422,10,Blink (1994),Thriller
19,20,Ace Ventura: When Nature Calls (1995),Comedy
3363,8,American Graffiti (1973),Comedy|Drama
381,8,When a Man Loves a Woman (1994),Drama|Romance
2096,2,Sleeping Beauty (1959),Animation|Children|Musical
7153,12,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
189,4,Reckless (1995),Comedy|Fantasy
93723,19,Damsels in Distress (2011),Comedy|Romance
41566,12,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy
556,12,"War Room, The (1993)",Documentary
3623,11,Mission: Impossible II (2000),Action|Adventure|Thriller
2090,20,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
3,32,Grumpier Old Men (1995),Comedy|Romance
1,9,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
99106,16,"Guilt Trip, The (2012)",Comedy
